Vardas              Pavarde             Galutinis (Vid.)    
Vardas2126          Pavarde2126         6.80                
Vardas2128          Pavarde2128         8.20                
Vardas2129          Pavarde2129         6.20                
Vardas2130          Pavarde2130         7.60                
Vardas2131          Pavarde2131         7.00                
Vardas2133          Pavarde2133         5.20                
Vardas2134          Pavarde2134         7.60                
Vardas2135          Pavarde2135         5.20                
Vardas2136          Pavarde2136         7.80                
Vardas2137          Pavarde2137         5.40                
Vardas2138          Pavarde2138         5.20                
Vardas2139          Pavarde2139         5.00                
Vardas214           Pavarde214          5.60                
Vardas2141          Pavarde2141         8.40                
Vardas2142          Pavarde2142         7.20                
Vardas2143          Pavarde2143         5.00                
Vardas2144          Pavarde2144         6.20                
Vardas2145          Pavarde2145         6.40                
Vardas2149          Pavarde2149         7.00                
Vardas2150          Pavarde2150         5.80                
